Date,Close, Volume
10/11/2011,38.30,2100586
10/10/2011,38.58,2321518
10/7/2011,37.74,3519908
10/6/2011,37.62,3169073
10/5/2011,37.04,4440407
10/4/2011,36.66,7305953
10/3/2011,37.15,4425639
9/30/2011,38.02,3386782
9/29/2011,38.47,8263839
9/28/2011,37.70,3289912
9/27/2011,37.90,3524400
9/26/2011,37.77,3431033
9/23/2011,37.45,4620836
9/22/2011,37.08,5705836
9/21/2011,37.45,4198784
9/20/2011,38.31,3662586
9/19/2011,37.53,3574345
9/16/2011,37.52,6578981
9/15/2011,37.64,3359635
9/14/2011,37.46,4160689
9/13/2011,37.13,4458957
9/12/2011,37.12,4471142
9/9/2011,36.80,7627323
9/8/2011,37.69,5859274
9/7/2011,38.24,5119142
9/6/2011,38.13,5484205
9/2/2011,37.98,2356632
9/1/2011,38.37,3513681
8/31/2011,38.63,3652104
8/30/2011,38.45,3145299
8/29/2011,38.25,2656698
8/26/2011,37.56,3132600
8/25/2011,37.59,4418888
8/24/2011,38.21,3965721
8/23/2011,37.54,3647711
8/22/2011,37.04,3597500
8/19/2011,37.06,5129652
8/18/2011,37.26,5282727
8/17/2011,37.83,5220781
8/16/2011,37.19,4950230
8/15/2011,37.49,6734969
8/12/2011,35.76,4873646
8/11/2011,35.77,5852237
8/10/2011,34.27,5952231
8/9/2011,35.06,8304861
8/8/2011,33.91,7657594
8/5/2011,36.24,8559671
8/4/2011,36.03,5180272
8/3/2011,37.12,5776443
8/2/2011,37.12,7069081
8/1/2011,37.85,8901432
7/29/2011,36.86,10784630
7/28/2011,37.16,10072990
7/27/2011,37.69,3723391
7/26/2011,37.70,2924184
7/25/2011,37.74,2618201
7/22/2011,37.71,2163584
7/21/2011,38.02,3334165
7/20/2011,37.60,2154762
7/19/2011,37.39,3086669
7/18/2011,37.11,3031317
7/15/2011,37.48,3716644
7/14/2011,37.57,3217957
7/13/2011,37.97,2488584
7/12/2011,38.16,2818313
7/11/2011,37.92,2570141
7/8/2011,38.35,2751910
7/7/2011,38.52,2922305
7/6/2011,38.50,4145554
7/5/2011,38.51,7510733
7/1/2011,38.18,2489984
6/30/2011,37.68,2539817
6/29/2011,37.57,2604595
6/28/2011,37.43,2634997
6/27/2011,37.30,2754366
6/24/2011,37.10,3810694
6/23/2011,37.30,3101283
6/22/2011,37.58,2265011
6/21/2011,37.88,2653155
6/20/2011,37.91,5781373
6/17/2011,37.64,4122579
6/16/2011,37.35,2806709
6/15/2011,36.93,2571951
6/14/2011,37.32,2754693
6/13/2011,37.13,2562124
6/10/2011,37.12,3659470
6/9/2011,37.46,2897579
6/8/2011,37.66,3093628
6/7/2011,37.57,3081791
6/6/2011,37.58,3395599
6/3/2011,37.51,4333888
6/2/2011,37.97,2633665
6/1/2011,38.02,3038920
5/31/2011,38.20,4694942
5/27/2011,38.32,3122313
5/26/2011,38.37,2882553
5/25/2011,38.53,5014282
5/24/2011,38.85,5723051
5/23/2011,38.39,3944015
5/20/2011,38.55,3600832
5/19/2011,38.48,3651640
5/18/2011,38.74,3735432
5/17/2011,38.85,7624681
5/16/2011,37.72,4279744
5/13/2011,37.58,3456182
5/12/2011,37.63,7726868
5/11/2011,36.86,2690555
5/10/2011,36.85,4297331
5/9/2011,36.48,2511448
5/6/2011,36.33,4011828
5/5/2011,36.66,3762821
5/4/2011,36.64,8378077
5/3/2011,36.95,3701329
5/2/2011,36.54,4209579
4/29/2011,36.48,2207256
4/28/2011,36.38,3856390
4/27/2011,36.23,3745762
4/26/2011,35.88,2513292
4/25/2011,35.59,1694602
4/21/2011,35.49,2192933
4/20/2011,35.53,3357538
4/19/2011,35.13,2986342
4/18/2011,35.31,2889348
4/15/2011,35.46,3944017
4/14/2011,35.17,2408618
4/13/2011,34.92,3957798
4/12/2011,34.59,4659506
4/11/2011,34.78,4096054
4/8/2011,35.31,2292779
4/7/2011,35.47,1763052
4/6/2011,35.57,2505520
4/5/2011,35.30,1563251
4/4/2011,35.45,2249029
4/1/2011,35.52,2388967
3/31/2011,35.14,3468153
3/30/2011,35.50,2973212
3/29/2011,35.10,3636088
3/28/2011,34.69,2672154
3/25/2011,34.71,2032993
3/24/2011,34.81,3247670
3/23/2011,34.50,4965481
3/22/2011,34.16,5763558
3/21/2011,34.06,5439718
3/18/2011,33.81,7616667
3/17/2011,33.60,10064760
3/16/2011,34.26,6058473
3/15/2011,34.92,3530235
