Date,Volume,Close
23/05/2013,88255300,61.1
24/05/2013,69041700,61.51
28/05/2013,96536300,61
29/05/2013,82644100,61.49
30/05/2013,88379900,62.4
31/05/2013,96075700,62.15
3/6/2013,93088100,62.28
4/6/2013,73182200,62.09
5/6/2013,72647400,61.51
6/6/2013,104233500,60.59
7/6/2013,101133900,61.05
10/6/2013,112538300,60.65
11/6/2013,71528100,60.47
12/6/2013,66306800,59.72
13/06/2013,71458100,60.24
14/06/2013,67966500,59.43
17/06/2013,64853600,59.7
18/06/2013,48756400,59.67
19/06/2013,77735000,58.45
20/06/2013,89327700,57.6
21/06/2013,120279600,57.14
24/06/2013,120186500,55.63
25/06/2013,78540700,55.64
26/06/2013,91931000,55.01
27/06/2013,84311500,54.42
28/06/2013,144629100,54.8
1/7/2013,97763400,56.55
2/7/2013,117466300,57.83
3/7/2013,60232200,58.15
5/7/2013,68506200,57.68
8/7/2013,74534600,57.36
9/7/2013,88146100,58.36
10/7/2013,70351400,58.14
11/7/2013,81573100,59.05
12/7/2013,69890800,58.94
15/07/2013,60479300,59.07
16/07/2013,54134500,59.45
17/07/2013,49747600,59.46
18/07/2013,54719700,59.66
19/07/2013,67180400,58.72
22/07/2013,51949100,58.91
23/07/2013,92348900,57.9
24/07/2013,147984200,60.87
25/07/2013,57373400,60.6
26/07/2013,50038100,60.94
29/07/2013,62014400,61.88
30/07/2013,77355600,62.64
31/07/2013,80739400,62.53
1/8/2013,51562700,63.11
2/8/2013,68695900,63.92
5/8/2013,79713900,64.87
6/8/2013,83714400,64.29
7/8/2013,74714500,64.25
8/8/2013,63944300,64.13
9/8/2013,66716300,63.21
12/8/2013,91108500,65.01
13/08/2013,220485300,68.1
14/08/2013,189093100,69.34
15/08/2013,122573500,69.26
16/08/2013,90576500,69.87
19/08/2013,127629600,70.63
20/08/2013,89672100,69.7
21/08/2013,83969900,69.88
22/08/2013,61051900,69.96
23/08/2013,55682900,69.69
26/08/2013,82741400,69.96
27/08/2013,106047200,67.96
28/08/2013,76902000,68.28
29/08/2013,59914400,68.4
30/08/2013,68074300,67.77
3/9/2013,82982200,67.96
4/9/2013,86258200,69.37
5/9/2013,59091900,68.89
6/9/2013,89881400,69.3
9/9/2013,85171800,70.41
10/9/2013,185798900,68.8
11/9/2013,224674100,65.06
12/9/2013,101012800,65.75
